task_id,A1_OS,A1_PFS12,A1_AE,A1_ROUTE,A1_CDX,A1_COST,A1_ACCESS,A2_OS,A2_PFS12,A2_AE,A2_ROUTE,A2_CDX,A2_COST,A2_ACCESS,A3_OS,A3_PFS12,A3_AE,A3_ROUTE,A3_CDX,A3_COST,A3_ACCESS
1,+6 months median OS,45%,30%,"Subcutaneous injection every 4 weeks (~5 min, injection centre or home health)",CDx required; result in 3 business days (broad NGS panel),"$75,000",Limited coverage / frequent step-through required (~30% of covered lives),No proven OS benefit (PFS-only endpoint),25%,15%,"IV infusion every 3 weeks (~30-60 min, infusion centre)",CDx required; result in 3 business days (broad NGS panel),"$75,000","Formulary-listed, no prior authorisation (~80% of covered lives)",+3 months median OS,35%,15%,"Oral, once daily (home administration)",CDx required; result in 10 business days (broad NGS panel),"$110,000",Limited coverage / frequent step-through required (~30% of covered lives)
2,No proven OS benefit (PFS-only endpoint),45%,45%,"Oral, once daily (home administration)",No CDx required,"$110,000",Covered with prior authorisation (~60% of covered lives),No proven OS benefit (PFS-only endpoint),35%,30%,"Subcutaneous injection every 4 weeks (~5 min, injection centre or home health)",CDx required; result in 10 business days (broad NGS panel),"$150,000",Limited coverage / frequent step-through required (~30% of covered lives),+3 months median OS,25%,45%,"Subcutaneous injection every 4 weeks (~5 min, injection centre or home health)",CDx required; result in 3 business days (broad NGS panel),"$150,000","Formulary-listed, no prior authorisation (~80% of covered lives)"
3,No proven OS benefit (PFS-only endpoint),35%,15%,"Subcutaneous injection every 4 weeks (~5 min, injection centre or home health)",CDx required; result in 3 business days (broad NGS panel),"$110,000",Covered with prior authorisation (~60% of covered lives),No proven OS benefit (PFS-only endpoint),45%,30%,"Oral, once daily (home administration)",CDx required; result in 10 business days (broad NGS panel),"$75,000","Formulary-listed, no prior authorisation (~80% of covered lives)",No proven OS benefit (PFS-only endpoint),25%,45%,"IV infusion every 3 weeks (~30-60 min, infusion centre)",No CDx required,"$150,000",Limited coverage / frequent step-through required (~30% of covered lives)
4,No proven OS benefit (PFS-only endpoint),25%,30%,"IV infusion every 3 weeks (~30-60 min, infusion centre)",CDx required; result in 10 business days (broad NGS panel),"$110,000",Covered with prior authorisation (~60% of covered lives),+3 months median OS,35%,45%,"Oral, once daily (home administration)",CDx required; result in 3 business days (broad NGS panel),"$75,000",Covered with prior authorisation (~60% of covered lives),+6 months median OS,45%,15%,"Subcutaneous injection every 4 weeks (~5 min, injection centre or home health)",No CDx required,"$150,000",Covered with prior authorisation (~60% of covered lives)
5,+6 months median OS,25%,45%,"Oral, once daily (home administration)",CDx required; result in 10 business days (broad NGS panel),"$150,000",Covered with prior authorisation (~60% of covered lives),+6 months median OS,35%,15%,"IV infusion every 3 weeks (~30-60 min, infusion centre)",No CDx required,"$110,000","Formulary-listed, no prior authorisation (~80% of covered lives)",+3 months median OS,45%,30%,"IV infusion every 3 weeks (~30-60 min, infusion centre)",No CDx required,"$75,000",Covered with prior authorisation (~60% of covered lives)
6,+6 months median OS,45%,45%,"Subcutaneous injection every 4 weeks (~5 min, injection centre or home health)",CDx required; result in 10 business days (broad NGS panel),"$110,000","Formulary-listed, no prior authorisation (~80% of covered lives)",+6 months median OS,35%,30%,"IV infusion every 3 weeks (~30-60 min, infusion centre)",CDx required; result in 3 business days (broad NGS panel),"$150,000",Covered with prior authorisation (~60% of covered lives),+6 months median OS,25%,15%,"Oral, once daily (home administration)",No CDx required,"$75,000",Limited coverage / frequent step-through required (~30% of covered lives)
7,No proven OS benefit (PFS-only endpoint),45%,15%,"Oral, once daily (home administration)",CDx required; result in 3 business days (broad NGS panel),"$150,000",Limited coverage / frequent step-through required (~30% of covered lives),+6 months median OS,35%,45%,"IV infusion every 3 weeks (~30-60 min, infusion centre)",CDx required; result in 10 business days (broad NGS panel),"$75,000",Limited coverage / frequent step-through required (~30% of covered lives),+3 months median OS,25%,30%,"Subcutaneous injection every 4 weeks (~5 min, injection centre or home health)",No CDx required,"$110,000",Limited coverage / frequent step-through required (~30% of covered lives)
8,+3 months median OS,25%,15%,"Subcutaneous injection every 4 weeks (~5 min, injection centre or home health)",CDx required; result in 10 business days (broad NGS panel),"$75,000",Covered with prior authorisation (~60% of covered lives),+3 months median OS,45%,45%,"IV infusion every 3 weeks (~30-60 min, infusion centre)",CDx required; result in 3 business days (broad NGS panel),"$110,000",Limited coverage / frequent step-through required (~30% of covered lives),+3 months median OS,35%,30%,"Oral, once daily (home administration)",No CDx required,"$150,000","Formulary-listed, no prior authorisation (~80% of covered lives)"
9,+3 months median OS,45%,15%,"IV infusion every 3 weeks (~30-60 min, infusion centre)",CDx required; result in 10 business days (broad NGS panel),"$150,000","Formulary-listed, no prior authorisation (~80% of covered lives)",+6 months median OS,25%,30%,"Oral, once daily (home administration)",CDx required; result in 3 business days (broad NGS panel),"$110,000","Formulary-listed, no prior authorisation (~80% of covered lives)",No proven OS benefit (PFS-only endpoint),35%,45%,"Subcutaneous injection every 4 weeks (~5 min, injection centre or home health)",No CDx required,"$75,000","Formulary-listed, no prior authorisation (~80% of covered lives)"
